0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:39:50 +0900] "GET /admintrade.do?useremail=chojam301%40gmail.com&userrank=%ED%8C%80%EC%9B%90&useremail=ddd%40duduit.co.kr&userrank=%ED%8C%80%EC%9B%90&useremail=lits111%40naver.com&userrank=%ED%8C%80%EC%9B%90 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:39:50 +0900] "GET /admin.do HTTP/1.1" 200 2816
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:41:38 +0900] "GET /pjlist.do HTTP/1.1" 200 21960
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:41:38 +0900] "GET /images/dudu/blue_duduCalendar_logo.svg HTTP/1.1" 200 4205
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:41:38 +0900] "GET /css/egovframework/com/cop/smt/sdm/dept_schdule_manage.css HTTP/1.1" 200 7040
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:41:38 +0900] "GET /css/dudu/nav.css HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:41:46 +0900] "GET /pjlist.do HTTP/1.1" 200 21960
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:41:51 +0900] "GET /test.do HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:41:51 +0900] "GET /rightNav.do HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:41:51 +0900] "GET /leftNav.do HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:41:51 +0900] "GET /topNav.do HTTP/1.1" 200 1164
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:41:52 +0900] "GET /calendar.do HTTP/1.1" 200 19219
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:41:52 +0900] "GET /js/dudu/calendar.js HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:41:52 +0900] "GET /images/egovframework/com/cop/smt/sdm/btn_prev.png HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:41:52 +0900] "GET /images/egovframework/com/cop/smt/sdm/btn_next.png HTTP/1.1" 200 982
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:41:53 +0900] "GET /pjlist.do HTTP/1.1" 200 21960
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:41:54 +0900] "GET /pjlist.do HTTP/1.1" 200 21960
0:0:0:0:0:0:0:1 - - [26/Mar/2024:13:41:55 +0900] "GET /pjlist.do HTTP/1.1" 200 21960
